bookId,title,genres
1,The Hunger Games,Adventure
2,Harry Potter and the Philosopher's Stone,Adventure|Animation|Children|Comedy|Fantasy
3,Twilight,Adventure|Children|Fantasy
4,To Kill a Mockingbird,Comedy|Romance
5,The Great Gatsby,Comedy|Drama|Romance
6,The Fault in Our Stars,Comedy
7,The Hobbit or There and Back Again,Action|Crime|Thriller
8,The Catcher in the Rye,Comedy|Romance
9,Angels & Demons ,Adventure|Children
10,Pride and Prejudice,Action
11,The Kite Runner ,Action|Adventure|Thriller
12,Divergent,Comedy|Drama|Romance
13,Nineteen Eighty-Four,Comedy|Horror
14,Animal Farm: A Fairy Story,Adventure|Animation|Children
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,Drama
16,Män som hatar kvinnor,Action|Adventure|Romance
17,Catching Fire,Crime|Drama
18,Harry Potter and the Prisoner of Azkaban,Drama|Romance
19, The Fellowship of the Ring,Comedy
20,Mockingjay,Comedy
21,Harry Potter and the Order of the Phoenix,Action|Comedy|Crime|Drama|Thriller
22,The Lovely Bones,Comedy|Crime|Thriller
23,Harry Potter and the Chamber of Secrets,Crime|Drama|Horror|Mystery|Thriller
24,Harry Potter and the Goblet of Fire,Action|Crime|Thriller
25,Harry Potter and the Deathly Hallows,Drama|Sci-Fi
26,The Da Vinci Code,Drama|Romance
27,Harry Potter and the Half-Blood Prince,Drama
28,Lord of the Flies ,Children|Drama
29,An Excellent conceited Tragedie of Romeo and Juliet,Drama|Romance
30,Gone Girl,Adventure|Drama|Fantasy|Mystery|Sci-Fi
31,The Help,Crime|Drama
32,Of Mice and Men ,Drama
33,Memoirs of a Geisha,Mystery|Sci-Fi|Thriller
34,Fifty Shades of Grey,Children|Drama
35,O Alquimista,Drama|Romance
36,The Giver,Crime|Drama
37,"The Lion, the Witch and the Wardrobe",Documentary|IMAX
38,The Time Traveler's Wife,Children|Comedy
39,A Game of Thrones,Comedy|Romance
40,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Drama
41,The Lightning Thief,Drama|War
42,Little Women,Action|Crime|Drama
43,Jane Eyre,Drama
44,The Notebook,Action|Adventure|Fantasy
45,Life of Pi,Comedy|Drama|Thriller
46,Water for Elephants,Drama|Romance
47,The Book Thief,Mystery|Thriller
48,Fahrenheit 451,Animation|Children|Drama|Musical|Romance
49,"New Moon (Twilight, #2)",Drama|Romance
50,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Crime|Mystery|Thriller
51,City of Bones,Comedy|Drama|Romance
52,Eclipse,Adventure|Drama
53,Eragon,Children|Comedy
54,The Hitchhiker's Guide to the Galaxy,Drama
55,Brave New World,Drama
56,Breaking Dawn,Comedy|Drama|Romance
57,The Secret Life of Bees,Drama|Mystery
58,The Adventures of Huckleberry Finn,Adventure|Children|Fantasy
59,Charlotte's Web,Drama|Thriller
60,The Curious Incident of the Dog in the Night-Time,Drama
61,The Girl on the Train,Comedy|Crime
62,Northern Lights,Comedy|Romance
63,Wuthering Heights,Comedy
64,My Sister's Keeper,Action|Sci-Fi|Thriller
65,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Comedy|Romance
66,Gone with the Wind,Comedy
67,A Thousand Splendid Suns,Action|Comedy|Horror|Thriller
68,The Perks of Being a Wallflower,Action
69,Insurgent,Comedy|Drama
70,Ender's Game,Drama|War
71,"Frankenstein; or, The Modern Prometheus",Drama|Romance
72,The Shining,Action|Sci-Fi|Thriller
73,The Host,Documentary
74,Looking for Alaska,Action|Crime|Drama|Thriller
75,,Drama|Thriller
76,Sense and Sensibility,Children|Drama
77,Holes,Crime|Drama|Romance
78,The Devil Wears Prada,Comedy|Drama
79,Ὀδύσσεια,Drama|Romance
80,Le Petit Prince,Comedy|Drama
81,The Glass Castle,Drama|Romance
82,Into the Wild,Action|Adventure|Drama
83,A Tale of Two Cities,Children|Comedy
84,Jurassic Park,Comedy
85,The Giving Tree,Action|Thriller
86,A Time to Kill,Drama|Horror|Thriller
87,Un di Velt Hot Geshvign,Comedy|Horror|Romance
88,Paper Towns,Comedy|Drama|Romance
89,The Princess Bride,Action|Adventure|Thriller
90,The Outsiders,Comedy|Drama
91,The Maze Runner,Crime|Drama
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Action|Thriller
93,The Secret Garden,Documentary
94,Cien años de soledad,Drama|Thriller
95,The Picture of Dorian Gray,Adventure|Comedy|Crime|Romance
96,Fifty Shades Freed,Comedy
97,Dracula,Mystery|Sci-Fi|Thriller
98,Flickan som lekte med elden,Comedy
99,Fifty Shades Darker,Drama|Romance
100,The Poisonwood Bible,Adventure|Children|Comedy|Musical
101,Me Talk Pretty One Day,Documentary
102,Where the Wild Things Are,Action|Drama|War
103,Le Comte de Monte-Cristo,Crime|Drama|Thriller
104,The Road,Action|Adventure|Comedy|Crime
105,Allegiant,Drama|Mystery
106,Bossypants,Drama
107,A Walk to Remember,Documentary
108,Confessions of a Shopaholic,Crime|Drama
109,Les Misérables,Comedy|Romance
110,A Clash of Kings,Comedy
111,The Memory Keeper's Daughter,Drama
112,Me Before You,Comedy|Romance
113,Catch-22,Drama|Mystery|Romance
114,Tuesdays with Morrie,Drama
115,Middlesex,Comedy
116,The Adventures of Tom Sawyer,Adventure|Children|Fantasy
117,A Wrinkle in Time,Comedy|Romance
118,The Joy Luck Club,Drama
119,The Handmaid's Tale,Drama|Romance
120,The Sisterhood of the Traveling Pants,Thriller
121,Lolita,Comedy
122,Wicked: The Life and Times of the Wicked Witch of the West,Documentary
123,The Firm,Drama|Romance
124,Room,Comedy
125,"The Tragicall Historie of Hamlet, Prince of Denmark",Comedy
126,Dune,Action|Comedy|Crime|Drama|Thriller
127,The Tipping Point: How Little Things Can Make a Big Difference,Adventure|Children
128,Steve Jobs,Drama
129,One Flew Over the Cuckoo's Nest,Drama
130,The Old Man and the Sea,Crime|Drama|Thriller
131,The Grapes of Wrath,Adventure|Drama|IMAX
132,The Five People You Meet in Heaven,Action|Drama|Romance|War
133,Anne of Green Gables,Drama|Horror
134,City of Glass,Action|Adventure|Comedy|Crime
135,A Storm of Swords,Drama
136,Divine Secrets of the Ya-Ya Sisterhood,Adventure|Drama|War
137,Outlander,Comedy|Drama
138,The Scarlet Letter,Comedy|War
139,Miss Peregrine’s Home for Peculiar Children,Adventure|Children
140,Luftslottet som sprängdes,Crime|Drama|Mystery
141,The Martian,Action|Adventure|Mystery|Sci-Fi
142,The Pillars of the Earth,Drama|Thriller|War
143,,Documentary
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Action|Romance|Western
145,Deception Point,Crime|Noir-Fiction|Mystery|Thriller
146,The Goldfinch,Action|Crime|Thriller
147,Thirteen Reasons Why,Comedy|Crime|Drama
148,Girl with a Pearl Earring,Drama
149,If I Stay,Action|Drama|Romance
150,The Red Tent,Adventure|Children|Drama
151,The Sea of Monsters,Action|Adventure|Crime|Thriller
152,Dear John,Comedy|Drama
153,City of Ashes,Action|Sci-Fi|Thriller
154,The Tragedy of Macbeth,Action|Crime|Sci-Fi
155,The Two Towers,Comedy
156,Something Borrowed,Drama
157,Green Eggs and Ham,Comedy
158,Charlie and the Chocolate Factory,Horror
159,The Battle of the Labyrinth,Comedy|Drama
160,Great Expectations,Drama|Romance
161,The Return of the King,Comedy|Romance
162,L’Étranger,Action|Children
163,The Lost Hero,Comedy|Horror|Thriller
164,Eleanor & Park,Drama
165,A Feast for Crows,Action|Crime|Thriller
166,Matched,Comedy|Romance
167,American Gods,Comedy
168,The Stand,Fantasy|Horror|Mystery
169,The Last Song,Comedy|Fantasy
170,Digital Fortress,Thriller
171,Emma,Drama|Romance
172,Анна Каренина,Drama
173,A Clockwork Orange,Comedy|Drama
174,The Shack: Where Tragedy Confronts Eternity,Comedy|Drama|Romance
175,The Last Olympian,Horror|Sci-Fi
176,It,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
177,Преступление и наказание,Drama|Musical|Romance
178,The Bell Jar,Thriller
179,Angela's Ashes: A Memoir,Drama|Fantasy
180,Siddhartha,Drama|Romance
181,In Cold Blood,Comedy
182,Beautiful Creatures,Action
183,Clockwork Angel,Comedy|Drama
184,Matilda,Documentary
185,The Night Circus,Drama|Romance
186,The Other Boleyn Girl,Action|Adventure|Sci-Fi
187,Uglies,Drama
188,A Dance with Dragons,Drama
189,The Lord of the Rings,Drama
190,Wild: From Lost to Found on the Pacific Crest Trail ,Drama|War
191,Watchmen,Drama|Romance
192,The Name of the Wind,Comedy
193,Outliers: The Story of Success,Drama|Thriller
194,"Moby Dick; or, The Whale",Comedy|Drama
195,The Guernsey Literary and Potato Peel Pie Society,Drama
196,Fight Club,Horror
197,Dead Until Dark,Drama|Romance
198,The Color Purple,Comedy
199,Marley & Me: Life and Love with the World's Worst Dog,Comedy|Drama|Romance
200,Ten Little Niggers,Drama|Thriller
201,The Lost Symbol,Action|Thriller
202,"Hush, Hush",Comedy
203,Beautiful Disaster,Drama|Thriller
204,A Christmas Carol,Drama|Thriller
205,Interview with the Vampire,Adventure|Comedy
206,The Selection,Comedy|Drama|Romance
207,One for the Money,Drama
208,The Immortal Life of Henrietta Lacks,Comedy
209,The Silence of the Lambs,Comedy|Drama
210,,Action|Comedy|Romance
211,Blink: The Power of Thinking Without Thinking,Comedy|Romance
212,Atonement,Adventure|Children
213,Die Verwandlung,Animation|Children|Comedy|Romance
214,The Titan's Curse,Thriller
215,,Children|Drama
216,The Art of Racing in the Rain,Drama|Musical
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",Children|Comedy|Fantasy
218,Bared to You,Animation|Children
219,The Chronicles of Narnia,Crime|Drama
220,Twilight: The Complete Illustrated Book Companion,Documentary
221,"A Child Called ""It"": One Child's Courage to Survive",Crime|Drama
222,The Bourne Identity,Comedy
223,Artemis Fowl,Drama|Romance
224,Fallen,Children|Comedy
225,East of Eden  ,Action
226,Dark Places,Comedy|Romance
227,The Client,Drama|Horror
228,The Nanny Diaries,Drama
229,Alice's Adventures in Wonderland,Comedy
230,Persuasion,Comedy|Sci-Fi
231,Elle s'appelait Sarah,Mystery|Thriller
232,The Gunslinger,Adventure|Children|Comedy|Fantasy|Romance
233,El amor en los tiempos del cólera,Crime|Drama|Thriller
234,Speak,Action|Adventure|Sci-Fi
235,The Husband's Secret ,Drama
236,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Children|Drama
237,Carrie,Drama
238,Running with Scissors,Drama
239,World War Z: An Oral History of the Zombie War,Drama|Fantasy|Romance
240,Inferno,Drama|Romance|War|Western
241,Number the Stars,Comedy
242,Along Came a Spider,Crime|Drama
243,Misery,Drama
244,Sharp Objects,Drama|Romance
245,Bridge to Terabithia,Drama
246,Marked,Comedy|Drama
247,The 7 Habits of Highly Effective People,Drama|Horror|Sci-Fi
248,A Midsummer Night's Dream,Comedy
249,Extremely Loud and Incredibly Close,Comedy
250,Wonder,Comedy|Romance
251,The Cat in the Hat,Drama
252,Cinder,Comedy
253,The Cuckoo's Calling,Drama
254,Shiver,Drama|Thriller
255,Atlas Shrugged,Comedy|Drama|Romance
256,Three Cups of Tea ,Drama
257,,Crime|Drama
258,La sombra del viento,Drama|Horror
259,The Scorch Trials,Comedy|Romance
260,How to Win Friends and Influence People,Action|Crime|Thriller
261,Under the Tuscan Sun,Comedy|Romance
262,Big Little Lies,Crime|Drama
263,Ella Enchanted,Drama|Thriller
264,The Sun Also Rises,Action|Drama|Sci-Fi|Thriller
265,A Tree Grows In Brooklyn ,Action|Crime|Drama|Thriller
266,Kiss the Girls,Comedy|Romance
267,The Nightingale,Comedy|Romance
268,Never Let Me Go,Comedy|Crime|Drama|Thriller
269,"PS, I Love You",Drama
270,Rebecca,Drama
271,Flowers for Algernon,Drama|Romance
272,Como agua para chocolate,Drama|Romance
273,Snow Flower and the Secret Fan,Action|Thriller|Western
274,The Godfather,Comedy|Drama
275,An Abundance of Katherines,Comedy
276,Foundation,Drama
277,The Ocean at the End of the Lane,Drama
278,A Light in the Attic,Comedy|Drama
279,"Harry Potter and the Cursed Child, Parts One and Two",Drama
280,Delirium,Comedy
281,The Pelican Brief,Animation|Children
282,Coraline,Children|Drama|Fantasy|Mystery
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Action|Drama|Thriller
284,On the Road,Action|Adventure|Sci-Fi
285,The Rosie Project,Comedy|Drama|Fantasy
286,The Lucky One,Crime|Drama
287,The Fountainhead,Comedy|Drama|Thriller
288,The Hunt for Red October,Noir-Fiction|Thriller
289,Watership Down,Drama
290,Is Everyone Hanging Out Without Me? (And Other Concerns),Comedy|Drama
291,Cutting for Stone,Comedy|Drama
292,The Voyage of the Dawn Treader,Comedy
293,Treasure Island,Drama
294,The Son of Neptune ,Action|Comedy|Sci-Fi
295,11/22/63,Horror|Thriller
296,The Very Hungry Caterpillar,Adventure|Drama|Sci-Fi
297,Cat's Cradle,Action|Crime|Horror
298,The Time Machine,Drama
299,,Horror|Sci-Fi
300,The Boy in the Striped Pyjamas,Comedy
301,Heart of Darkness,Drama
302,Safe Haven,Mystery|Thriller
303,The Secret,Drama|War
304,I Know This Much Is True ,Drama
305,Pet Sematary,Action|Sci-Fi|Thriller
306,She's Come Undone,Comedy|Romance
307,The Wise Man's Fear,Adventure|Drama|War
308,Can You Keep a Secret?,Drama
309,City of Fallen Angels,Comedy
310,Good in Bed,Children
311,The Thorn Birds,Comedy
312,The Graveyard Book,Comedy|Drama
313,The Light Between Oceans,Drama|Musical
314,Tintenherz,Drama|Noir-Fiction|Romance
315,Who Moved My Cheese?,Comedy
316,A Walk in the Woods,Action|Crime|Drama|Thriller
317,I Know Why the Caged Bird Sings,Drama|Mystery|Thriller
318,Orphan Train,Comedy|Drama|Romance
319,City of Lost Souls,Comedy|Drama
320,"Where'd You Go, Bernadette",Action|Crime|Fantasy|Thriller
321,Where the Red Fern Grows,Drama
322,Neverwhere,Children|Comedy|Fantasy
323,Nesnesitelná lehkost bytí,Comedy|Drama|Romance|War
324,,Comedy|Romance
325,A Prayer for Owen Meany,Drama
326,White Oleander,Action|Comedy
327,Legend,Comedy|Drama|Romance
328,Nineteen Minutes,Adventure|Children|Romance
329,The Last Lecture,Documentary
330,The Eye of the World,Adventure|Animation|Children|Drama|Musical|IMAX
331,The Pact,Drama
332,The magician's nephew,Drama|Horror|Mystery|Thriller
333,Still Alice,Action|Comedy|Crime|Fantasy
334,Reflected in You,Adventure|Comedy|Western
335,James and the Giant Peach,Drama
336,1st To Die,Action|Comedy
337,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Comedy|Drama
338,One Day,Comedy|Drama|Romance
339,,Thriller
340,I Am Number Four,Children|Comedy
341,Ἰλιάς,Drama
342,The Casual Vacancy,Action|Thriller
343,The Runaway Jury,Action|Romance|Thriller
344,Naked,Comedy|Romance
345,Eldest,Action|Sci-Fi|Thriller
346,The Wonderful Wizard of Oz,Action|Adventure|Comedy|Romance|Thriller
347,Prince Caspian: The Return to Narnia,Drama|Romance
348,We Were Liars,Drama|Horror|Romance|Thriller
349,Salem's Lot,Western
350,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Action|Crime|Drama
351,Clockwork Prince,Action|Comedy
352,Yes Please,Drama
353,"The Tragedy of Othello, The Moor of Venice",Drama|Romance|War
354,Beloved,Action|Crime|Drama
355,Graceling,Crime|Drama
356,The Bad Beginning,Adventure|Animation
357,Im Westen nichts Neues,Action|Adventure|Fantasy
358,"Oh, the Places You'll Go!",Action|Thriller
359,And The Mountains Echoed,Action|Fantasy
360,Do Androids Dream of Electric Sheep?,Horror|Thriller
361,Oliver Twist,Drama
362,A Grief Observed,Crime|Drama
363,Anna and the French Kiss,Children|Comedy|Fantasy
364,How the Grinch Stole Christmas!,Drama
365,V for Vendetta,Comedy
366,John Adams,Comedy
367,Odd Thomas,Comedy|Thriller
368,The Subtle Knife,Western
369,Stargirl,Comedy|Romance
370,The Red Pyramid,Drama
371,Stranger in a Strange Land,Comedy
372,Dress Your Family in Corduroy and Denim,Action|Comedy|Crime|Thriller
373,The BFG,Adventure|Children|Drama
374,A Short History of Nearly Everything,Thriller
375,The Call of the Wild,Action|Thriller
376,The Death Cure,Drama
377,Stardust,Drama|Romance
378,The Namesake,Horror|Sci-Fi|Thriller
379,A Discovery of Witches,Drama|Mystery|Romance|Thriller
380,ノルウェイの森 [Noruwei no Mori],Drama
381,Where the Heart Is,Comedy
382,"Will Grayson, Will Grayson",Crime|Drama
383,A Million Little Pieces,Adventure|Comedy|Western
384,Frostbite,Comedy
